North Stream,Meter,L side ,R side,Total,Alive,South Stream,,
,1,6,0,6,0,"Marjorie Surveyes entire stream area to a distance of 70 m, saw 0 shells of any clam species",,
,2,0,0,0,0,,,
,3,2,0,2,0,,,
,4,0,2,2,0,,,
,5,0,2,2,0,,,
,6,0,0,0,0,,,
,7,4,0,4,0,,,
,8,0,0,0,0,,,
,9,2,2,4,0,,,
,10,0,2,2,0,,,
,11,0,0,0,0,,,
,12,8,0,8,1,,,
,13,8,1,9,0,,,
,14,4,0,4,0,,,
,15,0,1,1,0,,,
,16,2,4,6,0,,,
,17,2,0,2,0,,,
,18,0,0,0,0,,,
,19,0,0,0,0,,,
,20,4,0,4,0,,,
,21,0,0,0,0,,,
,22,0,2,2,0,,,
,23,0,0,0,0,,,
,24,0,0,0,0,,,
,25,0,1,1,0,,,
,26,0,0,0,0,,,
,27,0,0,0,0,,,
,28,0,0,0,0,,,
,29,0,0,0,0,,,
,30,2,0,2,0,,,
,31,0,0,0,0,,,
,32,0,0,0,0,,,
,33,1,2,3,0,,,
,34,5,2,7,0,,,
,35,0,0,0,0,,,
,36,1,0,1,0,,,
,37,0,0,0,0,,,
,38,2,0,2,0,,,
,39,0,0,0,0,,,
,40,3,0,3,0,,,
,41,2,0,2,0,,,
,42,0,0,0,0,,,
,43,4,2,6,0,,,
,44,0,0,0,0,,,
,45,0,2,2,0,,,
,46,2,1,3,0,,,
,47,0,0,0,0,,,
,48,0,0,0,0,,,
,49,2,74,76,0,,,
,50,4,10,14,1,,,
,51,0,16,16,0,,,
,52,2,30,32,0,,,
,53,8,2,10,0,,,
,54,10,0,10,0,,,
,55,14,0,14,0,,,
,56,2,8,10,0,,,
,57,13,4,17,0,,,
,58,23,0,23,0,,,
,59,6,0,6,0,,,
,60,0,5,5,0,,,