"UniqueID","StreamSide","StreamDistance","Elevation","DepthBin","Mortality","Sizemm","DownStreamTotal","PC1","APresence","DPresence"
"S2 110-2","S",2,1.76,15,"A",24.63,112,-0.419903088335641,1,0
"S5 130-0","S",5,1.63,15,"A",64.79,130,1.96730208656077,1,0
"S5 120-6","S",5,1.53,5,"A",61.79,126,0.577497507970797,1,0
"S2 130-9","S",2,1.5,5,"A",59.14,139,0.798312586850766,1,0
"S10 140-6","S",10,1.42,15,"A",56.21,146,2.04780033277511,1,0
"S2 120-4","S",2,1.57,10,"A",54.53,124,NA,1,0
"S2 120-4","S",2,1.57,15,"A",53.33,124,NA,1,0
"C 100-0","C",0,1.89,5,"A",52.8,100,-2.05552797292785,1,0
"N10 50-3","N",10,2.65,0,"A",52.35,53,3.65229579822368,1,0
"S2 70-5","S",2,2.49,10,"A",51.59,75,0.438740823655617,1,0
"S5 80-0","S",5,2.41,15,"A",50.83,80,-0.705075298335113,1,0
"S5 80-0","S",5,2.41,0,"A",50.73,80,-0.705075298335113,1,0
"N10 50-3","N",10,2.65,10,"A",50.06,53,3.65229579822368,1,0
"N10 100-7","N",10,1.79,10,"A",49.95,107,NA,1,0
"S10 100-5","S",10,1.96,10,"A",49.64,105,-0.503019531818669,1,0
"S5 90-0","S",5,2.26,5,"A",49.57,90,-1.13801628031234,1,0
"S10 80-7","S",10,2.3,5,"A",49.1,87,-0.93582700115789,1,0
"N5 90-3","N",5,2.14,10,"A",48.64,93,-2.91947664030391,1,0
"N5 130-2","N",5,1.42,15,"A",48.63,132,0.204432341904567,1,0
"S2 130-9","S",2,1.5,5,"A",47.75,139,0.798312586850766,1,0
"S10 100-5","S",10,1.96,15,"A",47.49,105,-0.503019531818669,1,0
"N10 50-3","N",10,2.65,0,"A",47.28,53,3.65229579822368,1,0
"S 2 140-2","S",2,1.42,5,"A",47.14,142,NA,1,0
"N10 120-0","N",10,1.57,5,"A",46.74,120,1.0625024453634,1,0
"S10 80-7","S",10,2.3,5,"A",46.66,87,-0.93582700115789,1,0
"S10 80-7","S",10,2.3,5,"A",46.64,87,-0.93582700115789,1,0
"S10 80-7","S",10,2.3,15,"A",46.35,87,-0.93582700115789,1,0
"S5 130-0","S",5,1.63,10,"A",45.87,130,1.96730208656077,1,0
"S10 60-5","S",10,2.63,15,"A",45.81,65,1.00228662716535,1,0
"N10 50-3","N",10,2.65,0,"A",45.75,53,3.65229579822368,1,0
"S10 80-7","S",10,2.3,5,"A",45.56,87,-0.93582700115789,1,0
"S5 90-0","S",5,2.26,5,"A",45.11,90,-1.13801628031234,1,0
"S5 80-0","S",5,2.41,15,"A",44.71,80,-0.705075298335113,1,0
"S10 70-7","S",10,2.35,10,"A",44.64,77,1.58800306435711,1,0
"S10 70-7","S",10,2.35,5,"A",44.62,77,1.58800306435711,1,0
"S5 90-0","S",5,2.26,15,"A",44.49,90,-1.13801628031234,1,0
"S5 90-0","S",5,2.26,15,"A",44.24,90,-1.13801628031234,1,0
"S10 80-7","S",10,2.3,0,"A",43.76,87,-0.93582700115789,1,0
"S10 100-5","S",10,1.96,15,"A",43.69,105,-0.503019531818669,1,0
"N10 50-3","N",10,2.65,5,"A",43.4,53,3.65229579822368,1,0
"S2 80-7","S",2,2.13,5,"A",43.17,87,3.21079254261221,1,0
"N10 50-3","N",10,2.65,0,"A",43.03,53,3.65229579822368,1,0
"N10 120-0","N",10,1.57,5,"A",42.91,120,1.0625024453634,1,0
"N5 130-2","N",5,1.42,15,"A",42.91,132,0.204432341904567,1,0
"S10 100-5","S",10,1.96,10,"A",42.78,105,-0.503019531818669,1,0
"S10 80-7","S",10,2.3,5,"A",42.67,87,-0.93582700115789,1,0
"N10 50-3","N",10,2.65,5,"A",42.61,53,3.65229579822368,1,0
"S10 70-7","S",10,2.35,10,"A",42.31,77,1.58800306435711,1,0
"N10 50-3","N",10,2.65,5,"A",41.98,53,3.65229579822368,1,0
"S10 110-4","S",10,1.81,15,"A",41.86,114,1.19739323263789,1,0
"S5 90-0","S",5,2.26,15,"A",41.63,90,-1.13801628031234,1,0
"S10 70-7","S",10,2.35,5,"A",41.62,77,1.58800306435711,1,0
"N10 50-3","N",10,2.65,0,"A",41.2,53,3.65229579822368,1,0
"S5 90-0","S",5,2.26,0,"A",40.76,90,-1.13801628031234,1,0
"S10 70-7","S",10,2.35,10,"A",40.66,77,1.58800306435711,1,0
"S2 70-5","S",2,2.49,5,"A",40.18,75,0.438740823655617,1,0
"S10 80-7","S",10,2.3,5,"A",40.04,87,-0.93582700115789,1,0
"N10 80-5","N",10,2.1,5,"A",39.99,85,-0.155573608081785,1,0
"S10 80-7","S",10,2.3,5,"A",39.49,87,-0.93582700115789,1,0
"S10 70-7","S",10,2.35,10,"A",38.82,77,1.58800306435711,1,0
"N10 50-3","N",10,2.65,5,"A",38.49,53,3.65229579822368,1,0
"S5 110-0","S",5,1.98,10,"A",38.38,110,3.57532407996306,1,0
"N5 50-4","N",5,2.77,5,"A",38.12,54,1.76842964400047,1,0
"N10 50-3","N",10,2.65,0,"A",37.8,53,3.65229579822368,1,0
"N10 40-6","N",10,2.94,5,"A",37.8,46,-1.47207115196788,1,0
"N5 50-4","N",5,2.77,10,"A",37.33,54,1.76842964400047,1,0
"S10 60-5","S",10,2.63,15,"A",37.12,65,1.00228662716535,1,0
"S5 80-0","S",5,2.41,10,"A",37.06,80,-0.705075298335113,1,0
"N10 50-3","N",10,2.65,5,"A",37.05,53,3.65229579822368,1,0
"S10 80-7","S",10,2.3,5,"A",37.02,87,-0.93582700115789,1,0
"N5 80-1","N",5,2.33,10,"A",35.8,81,NA,1,0
"N5 50-4","N",5,2.77,15,"A",35.22,54,1.76842964400047,1,0
"N10 40-6","N",10,2.94,5,"A",34.85,46,-1.47207115196788,1,0
"N10 100-7","N",10,1.79,5,"A",34.82,107,NA,1,0
"S10 80-7","S",10,2.3,5,"A",34.8,87,-0.93582700115789,1,0
"S2 70-5","S",2,2.49,5,"A",34.75,75,0.438740823655617,1,0
"N10 50-3","N",10,2.65,10,"A",34.59,53,3.65229579822368,1,0
"N5 50-4","N",5,2.77,15,"A",34.59,54,1.76842964400047,1,0
"S5 80-0","S",5,2.41,5,"A",34.59,80,-0.705075298335113,1,0
"S2 90-9","S",2,2.01,10,"A",34.52,99,-1.32369065476558,1,0
"N2 90-0","N",2,2.13,10,"A",34.52,90,-2.04792250831147,1,0
"N5 50-4","N",5,2.77,10,"A",34.42,54,1.76842964400047,1,0
"S5 80-0","S",5,2.41,5,"A",34.34,80,-0.705075298335113,1,0
"N10 50-3","N",10,2.65,5,"A",34.23,53,3.65229579822368,1,0
"N5 50-4","N",5,2.77,15,"A",34.09,54,1.76842964400047,1,0
"N10 50-3","N",10,2.65,15,"A",33.56,53,3.65229579822368,1,0
"S10 80-7","S",10,2.3,0,"A",33.54,87,-0.93582700115789,1,0
"S10 50-7","S",10,2.82,10,"A",33.43,57,5.7498060467405,1,0
"N5 50-4","N",5,2.77,10,"A",33.25,54,1.76842964400047,1,0
"N10 50-3","N",10,2.65,15,"A",33.14,53,3.65229579822368,1,0
"N5 40-2","N",5,3.18,15,"A",33.1,42,-1.41006578516501,1,0
"S2 60-9","S",2,2.59,15,"A",32.76,69,-0.415845315859426,1,0
"S5 80-0","S",5,2.41,0,"A",32.67,80,-0.705075298335113,1,0
"S10 80-7","S",10,2.3,5,"A",32.49,87,-0.93582700115789,1,0
"S10 80-7","S",10,2.3,0,"A",32.36,87,-0.93582700115789,1,0
"S2 70-5","S",2,2.49,15,"A",32.31,75,0.438740823655617,1,0
"N5 50-4","N",5,2.77,5,"A",32.16,54,1.76842964400047,1,0
"N5 50-4","N",5,2.77,5,"A",32,54,1.76842964400047,1,0
"N10 50-3","N",10,2.65,5,"A",31.78,53,3.65229579822368,1,0
"N10 50-3","N",10,2.65,15,"A",31.71,53,3.65229579822368,1,0
"N5 50-4","N",5,2.77,5,"A",31.54,54,1.76842964400047,1,0
"S10 80-7","S",10,2.3,0,"A",31.36,87,-0.93582700115789,1,0
"S10 80-7","S",10,2.3,5,"A",31.16,87,-0.93582700115789,1,0
"N10 50-3","N",10,2.65,5,"A",30.82,53,3.65229579822368,1,0
"N10 50-3","N",10,2.65,15,"A",30.65,53,3.65229579822368,1,0
"S5 80-0","S",5,2.41,10,"A",30.65,80,-0.705075298335113,1,0
"S5 80-0","S",5,2.41,0,"A",30.42,80,-0.705075298335113,1,0
"N10 40-6","N",10,2.94,5,"A",30.27,46,-1.47207115196788,1,0
"S2 130-9","S",2,1.5,0,"A",29.76,139,0.798312586850766,1,0
"S5 40-6","S",5,3.08,10,"A",29.55,46,0.22674295750356,1,0
"S10 80-7","S",10,2.3,5,"A",29.5,87,-0.93582700115789,1,0
"S10 80-7","S",10,2.3,15,"A",29.5,87,-0.93582700115789,1,0
"N10 50-3","N",10,2.65,5,"A",29.48,53,3.65229579822368,1,0
"N10 50-3","N",10,2.65,5,"A",29.35,53,3.65229579822368,1,0
"S10 70-7","S",10,2.35,15,"A",29.18,77,1.58800306435711,1,0
"S5 70-0","S",5,2.64,10,"A",27.5,70,-2.38372523272129,1,0
"N5 50-4","N",5,2.77,15,"A",27.44,54,1.76842964400047,1,0
"N10 90-5","N",10,1.78,5,"A",27.44,95,-0.159998854402196,1,0
"S10 80-7","S",10,2.3,5,"A",27.17,87,-0.93582700115789,1,0
"N10 50-3","N",10,2.65,5,"A",27.12,53,3.65229579822368,1,0
"N5 90-3","N",5,2.14,10,"A",26.71,93,-2.91947664030391,1,0
"N10 50-3","N",10,2.65,10,"A",26.25,53,3.65229579822368,1,0
"N10 40-6","N",10,2.94,5,"A",26.13,46,-1.47207115196788,1,0
"N10 50-3","N",10,2.65,0,"A",26.1,53,3.65229579822368,1,0
"N10 50-3","N",10,2.65,15,"A",25.93,53,3.65229579822368,1,0
"S5 90-0","S",5,2.26,15,"A",25.57,90,-1.13801628031234,1,0
"S5 40-6","S",5,3.08,10,"A",24.65,46,0.22674295750356,1,0
"N10 40-6","N",10,2.94,10,"A",23.96,46,-1.47207115196788,1,0
"S5 80-0","S",5,2.41,0,"A",23.18,80,-0.705075298335113,1,0
"N10 90-5","N",10,1.78,5,"A",19.51,95,-0.159998854402196,1,0
"S5 110-0","S",5,1.98,10,"A",19.22,110,3.57532407996306,1,0
"N10 90-5","N",10,1.78,0,"A",17.84,95,-0.159998854402196,1,0
"N10 90-5","N",10,1.78,5,"A",17.59,95,-0.159998854402196,1,0
"N10 90-5","N",10,1.78,0,"A",16.91,95,-0.159998854402196,1,0
"S2 110-2","S",2,1.76,15,"A",15.65,112,-0.419903088335641,1,0
"N10 90-5","N",10,1.78,10,"A",15.46,95,-0.159998854402196,1,0
"N10 90-5","N",10,1.78,0,"A",14.42,95,-0.159998854402196,1,0
"S2 100-0","S",2,1.94,10,"A",14.36,100,0.0657165572617544,1,0
"N10 90-5","N",10,1.78,0,"A",13.27,95,-0.159998854402196,1,0
"N10 90-5","N",10,1.78,0,"A",13.22,95,-0.159998854402196,1,0
"N10 90-5","N",10,1.78,0,"A",12.11,95,-0.159998854402196,1,0
"N10 90-5","N",10,1.78,0,"A",12.01,95,-0.159998854402196,1,0
"N10 90-5","N",10,1.78,0,"A",11.45,95,-0.159998854402196,1,0
"N10 130-4","N",10,1.64,0,"Z",NA,134,-2.43980963247531,0,0
"N10 130-4","N",10,1.64,5,"Z",NA,134,-2.43980963247531,0,0
"N10 130-4","N",10,1.64,10,"Z",NA,134,-2.43980963247531,0,0
"N10 130-4","N",10,1.64,15,"Z",NA,134,-2.43980963247531,0,0
"S2 10-2","S",2,3.94,0,"Z",NA,12,-0.203205915686158,0,0
"S2 10-2","S",2,3.94,5,"D",NA,12,-0.203205915686158,0,1
"S2 10-2","S",2,3.94,10,"D",NA,12,-0.203205915686158,0,1
"S2 10-2","S",2,3.94,10,"D",NA,12,-0.203205915686158,0,1
"S2 10-2","S",2,3.94,10,"D",NA,12,-0.203205915686158,0,1
"S2 10-2","S",2,3.94,10,"D",NA,12,-0.203205915686158,0,1
"S2 10-2","S",2,3.94,15,"Z",NA,12,-0.203205915686158,0,0
"N5 120-8","N",5,1.56,0,"Z",NA,128,-1.90190445342809,0,0
"N5 120-8","N",5,1.56,5,"D",NA,128,-1.90190445342809,0,1
"N5 120-8","N",5,1.56,5,"D",NA,128,-1.90190445342809,0,1
"N5 120-8","N",5,1.56,10,"D",NA,128,-1.90190445342809,0,1
"N5 120-8","N",5,1.56,10,"D",NA,128,-1.90190445342809,0,1
"N5 120-8","N",5,1.56,15,"Z",NA,128,-1.90190445342809,0,0
"C 40-9","C",0,2.8,0,"D",NA,49,-5.28893677558363,0,1
"C 40-9","C",0,2.8,5,"Z",NA,49,-5.28893677558363,0,0
"C 40-9","C",0,2.8,10,"Z",NA,49,-5.28893677558363,0,0
"C 40-9","C",0,2.8,15,"Z",NA,49,-5.28893677558363,0,0
"S5 20-5","S",5,3.74,0,"Z",NA,25,0.634766996648482,0,0
"S5 20-5","S",5,3.74,5,"Z",NA,25,0.634766996648482,0,0
"S5 20-5","S",5,3.74,10,"Z",NA,25,0.634766996648482,0,0
"S5 20-5","S",5,3.74,15,"D",NA,25,0.634766996648482,0,1
"S10 140-6","S",10,1.42,0,"D",NA,146,2.04780033277511,0,1
"S10 140-6","S",10,1.42,5,"D",NA,146,2.04780033277511,0,1
"S10 140-6","S",10,1.42,5,"D",NA,146,2.04780033277511,0,1
"S10 140-6","S",10,1.42,5,"D",NA,146,2.04780033277511,0,1
"S10 140-6","S",10,1.42,15,"D",NA,146,2.04780033277511,0,1
"S10 50-7","S",10,2.82,0,"D",NA,57,5.7498060467405,0,1
"S10 50-7","S",10,2.82,0,"D",NA,57,5.7498060467405,0,1
"S10 50-7","S",10,2.82,5,"D",NA,57,5.7498060467405,0,1
"S10 50-7","S",10,2.82,5,"D",NA,57,5.7498060467405,0,1
"S10 50-7","S",10,2.82,5,"D",NA,57,5.7498060467405,0,1
"S10 50-7","S",10,2.82,5,"D",NA,57,5.7498060467405,0,1
"S10 50-7","S",10,2.82,10,"D",NA,57,5.7498060467405,0,1
"S10 50-7","S",10,2.82,15,"Z",NA,57,5.7498060467405,0,0
"N5 20-9","N",5,3.93,10,"D",NA,29,-0.393591854566171,0,1
"N10 50-3","N",10,2.65,0,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,5,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,5,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,5,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,5,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,5,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,10,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,10,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,10,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,10,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,10,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,10,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,10,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,10,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,15,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,15,"D",NA,53,3.65229579822368,0,1
"N10 110-5","N",10,1.46,0,"D",NA,115,-1.9243912137086,0,1
"N10 110-5","N",10,1.46,5,"Z",NA,115,-1.9243912137086,0,0
"N10 110-5","N",10,1.46,10,"Z",NA,115,-1.9243912137086,0,0
"N10 110-5","N",10,1.46,15,"Z",NA,115,-1.9243912137086,0,0
"N10 110-5","N",10,1.46,0,"D",NA,115,-1.9243912137086,0,1
"N10 110-5","N",10,1.46,5,"Z",NA,115,-1.9243912137086,0,0
"N10 110-5","N",10,1.46,10,"Z",NA,115,-1.9243912137086,0,0
"N10 110-5","N",10,1.46,15,"Z",NA,115,-1.9243912137086,0,0
"N10 80-5","N",10,2.1,0,"D",NA,85,-0.155573608081785,0,1
"N10 80-5","N",10,2.1,5,"D",NA,85,-0.155573608081785,0,1
"N10 80-5","N",10,2.1,10,"D",NA,85,-0.155573608081785,0,1
"N10 80-5","N",10,2.1,15,"Z",NA,85,-0.155573608081785,0,0
"S2 0-5","S",2,4.14,0,"Z",NA,5,0.13502356138823,0,0
"S2 0-5","S",2,4.14,5,"Z",NA,5,0.13502356138823,0,0
"S2 0-5","S",2,4.14,10,"Z",NA,5,0.13502356138823,0,0
"S2 0-5","S",2,4.14,15,"Z",NA,5,0.13502356138823,0,0
"S10 40-4","S",10,3.22,0,"Z",NA,44,1.48994810255223,0,0
"S10 40-4","S",10,3.22,5,"Z",NA,44,1.48994810255223,0,0
"S10 40-4","S",10,3.22,10,"Z",NA,44,1.48994810255223,0,0
"S10 40-4","S",10,3.22,15,"Z",NA,44,1.48994810255223,0,0
"S2 30-7","S",2,3.24,0,"Z",NA,37,1.117810462253,0,0
"S2 30-7","S",2,3.24,5,"Z",NA,37,1.117810462253,0,0
"S2 30-7","S",2,3.24,10,"Z",NA,37,1.117810462253,0,0
"S2 30-7","S",2,3.24,15,"Z",NA,37,1.117810462253,0,0
"N2 50-0","N",2,2.77,0,"Z",NA,50,-1.16562252984988,0,0
"N2 50-0","N",2,2.77,5,"Z",NA,50,-1.16562252984988,0,0
"N2 50-0","N",2,2.77,10,"Z",NA,50,-1.16562252984988,0,0
"N2 50-0","N",2,2.77,15,"Z",NA,50,-1.16562252984988,0,0
"C 90-2","C",0,1.95,0,"D",NA,92,-1.30811497910788,0,1
"C 90-2","C",0,1.95,0,"D",NA,92,-1.30811497910788,0,1
"C 90-2","C",0,1.95,0,"D",NA,92,-1.30811497910788,0,1
"C 90-2","C",0,1.95,5,"Z",NA,92,-1.30811497910788,0,0
"C 90-2","C",0,1.95,10,"Z",NA,92,-1.30811497910788,0,0
"C 90-2","C",0,1.95,15,"Z",NA,92,-1.30811497910788,0,0
"N2 60-1","N",2,2.57,0,"D",NA,61,-0.672103963060546,0,1
"N2 60-1","N",2,2.57,5,"Z",NA,61,-0.672103963060546,0,0
"N2 60-1","N",2,2.57,10,"Z",NA,61,-0.672103963060546,0,0
"N2 60-1","N",2,2.57,15,"Z",NA,61,-0.672103963060546,0,0
"C 20-6","C",0,3.54,0,"Z",NA,26,NA,0,0
"C 20-6","C",0,3.54,5,"Z",NA,26,NA,0,0
"C 20-6","C",0,3.54,10,"Z",NA,26,NA,0,0
"C 20-6","C",0,3.54,15,"Z",NA,26,NA,0,0
"S5 140-3","S",5,1.25,0,"Z",NA,143,2.33826805589518,0,0
"S5 140-3","S",5,1.25,5,"Z",NA,143,2.33826805589518,0,0
"S5 140-3","S",5,1.25,10,"D",NA,143,2.33826805589518,0,1
"S5 140-3","S",5,1.25,10,"D",NA,143,2.33826805589518,0,1
"S5 140-3","S",5,1.25,10,"D",NA,143,2.33826805589518,0,1
"S5 140-3","S",5,1.25,10,"D",NA,143,2.33826805589518,0,1
"S5 140-3","S",5,1.25,15,"D",NA,143,2.33826805589518,0,1
"S5 140-3","S",5,1.25,15,"D",NA,143,2.33826805589518,0,1
"N5 50-4","N",5,2.77,0,"Z",NA,54,1.76842964400047,0,0
"N5 50-4","N",5,2.77,5,"D",NA,54,1.76842964400047,0,1
"S2 80-7","S",2,2.13,0,"Z",NA,87,3.21079254261221,0,0
"S2 80-7","S",2,2.13,10,"D",NA,87,3.21079254261221,0,1
"S2 80-7","S",2,2.13,10,"D",NA,87,3.21079254261221,0,1
"S2 80-7","S",2,2.13,15,"Z",NA,87,3.21079254261221,0,0
"N2 30-0","N",2,3.23,0,"Z",NA,30,-4.59158765104885,0,0
"N2 30-0","N",2,3.23,5,"Z",NA,30,-4.59158765104885,0,0
"N2 30-0","N",2,3.23,10,"Z",NA,30,-4.59158765104885,0,0
"N2 30-0","N",2,3.23,15,"D",NA,30,-4.59158765104885,0,1
"N2 30-0","N",2,3.23,15,"D",NA,30,-4.59158765104885,0,1
"C 60-3","C",0,2.45,0,"D",NA,63,-0.713552285726181,0,1
"C 60-3","C",0,2.45,0,"D",NA,63,-0.713552285726181,0,1
"C 60-3","C",0,2.45,0,"D",NA,63,-0.713552285726181,0,1
"C 60-3","C",0,2.45,0,"D",NA,63,-0.713552285726181,0,1
"C 60-3","C",0,2.45,5,"D",NA,63,-0.713552285726181,0,1
"C 60-3","C",0,2.45,5,"D",NA,63,-0.713552285726181,0,1
"C 60-3","C",0,2.45,5,"D",NA,63,-0.713552285726181,0,1
"C 60-3","C",0,2.45,10,"D",NA,63,-0.713552285726181,0,1
"C 60-3","C",0,2.45,15,"Z",NA,63,-0.713552285726181,0,0
"N5 80-1","N",5,2.33,0,"Z",NA,81,NA,0,0
"N5 80-1","N",5,2.33,5,"Z",NA,81,NA,0,0
"N5 80-1","N",5,2.33,15,"Z",NA,81,NA,0,0
"S10 130-9","S",10,1.86,0,"D",NA,139,2.03232416734516,0,1
"S10 130-9","S",10,1.86,0,"D",NA,139,2.03232416734516,0,1
"S10 130-9","S",10,1.86,5,"Z",NA,139,2.03232416734516,0,0
"S10 130-9","S",10,1.86,10,"Z",NA,139,2.03232416734516,0,0
"S10 130-9","S",10,1.86,15,"Z",NA,139,2.03232416734516,0,0
"S5 70-0","S",5,2.64,0,"Z",NA,70,-2.38372523272129,0,0
"S5 70-0","S",5,2.64,15,"Z",NA,70,-2.38372523272129,0,0
"S5 70-0","S",5,2.64,0,"Z",NA,70,-2.38372523272129,0,0
"S5 70-0","S",5,2.64,5,"D",NA,70,-2.38372523272129,0,1
"S5 70-0","S",5,2.64,10,"D",NA,70,-2.38372523272129,0,1
"S5 70-0","S",5,2.64,10,"D",NA,70,-2.38372523272129,0,1
"S5 70-0","S",5,2.64,10,"D",NA,70,-2.38372523272129,0,1
"S5 70-0","S",5,2.64,10,"D",NA,70,-2.38372523272129,0,1
"S5 70-0","S",5,2.64,15,"Z",NA,70,-2.38372523272129,0,0
"S2 60-9","S",2,2.59,0,"D",NA,69,-0.415845315859426,0,1
"S2 60-9","S",2,2.59,0,"D",NA,69,-0.415845315859426,0,1
"S2 60-9","S",2,2.59,5,"Z",NA,69,-0.415845315859426,0,0
"S2 60-9","S",2,2.59,10,"Z",NA,69,-0.415845315859426,0,0
"S5 30-5","S",5,3.37,0,"Z",NA,35,-0.121782489038967,0,0
"S5 30-5","S",5,3.37,5,"Z",NA,35,-0.121782489038967,0,0
"S5 30-5","S",5,3.37,10,"D",NA,35,-0.121782489038967,0,1
"S5 30-5","S",5,3.37,15,"Z",NA,35,-0.121782489038967,0,0
"S5 60-0","S",5,2.8,0,"D",NA,60,0.0964558308029753,0,1
"S5 60-0","S",5,2.8,0,"Z",NA,60,0.0964558308029753,0,0
"S5 60-0","S",5,2.8,5,"Z",NA,60,0.0964558308029753,0,0
"S5 60-0","S",5,2.8,10,"D",NA,60,0.0964558308029753,0,1
"S5 60-0","S",5,2.8,10,"D",NA,60,0.0964558308029753,0,1
"S5 60-0","S",5,2.8,15,"Z",NA,60,0.0964558308029753,0,0
