"UniqueID","StreamSide","StreamDistance","Elevation","DepthBin","Mortality","Sizemm","PC1"
"N10 130-4","N",10,1.64,0,"Z",NA,-2.4398096324753
"N10 130-4","N",10,1.64,5,"Z",NA,-2.4398096324753
"N10 130-4","N",10,1.64,10,"Z",NA,-2.4398096324753
"N10 130-4","N",10,1.64,15,"Z",NA,-2.4398096324753
"S2 10-2","S",2,3.94,0,"Z",NA,-0.203205915686153
"S2 10-2","S",2,3.94,5,"D",NA,-0.203205915686153
"S2 10-2","S",2,3.94,10,"D",NA,-0.203205915686153
"S2 10-2","S",2,3.94,10,"D",NA,-0.203205915686153
"S2 10-2","S",2,3.94,10,"D",NA,-0.203205915686153
"S2 10-2","S",2,3.94,10,"D",NA,-0.203205915686153
"S2 10-2","S",2,3.94,15,"Z",NA,-0.203205915686153
"N5 120-8","N",5,1.56,0,"Z",NA,-1.90190445342809
"N5 120-8","N",5,1.56,5,"D",NA,-1.90190445342809
"N5 120-8","N",5,1.56,5,"D",NA,-1.90190445342809
"N5 120-8","N",5,1.56,10,"D",NA,-1.90190445342809
"N5 120-8","N",5,1.56,10,"D",NA,-1.90190445342809
"N5 120-8","N",5,1.56,15,"Z",NA,-1.90190445342809
"C 40-9","C",0,2.8,0,"D",NA,-5.28893677558362
"C 40-9","C",0,2.8,5,"Z",NA,-5.28893677558362
"C 40-9","C",0,2.8,10,"Z",NA,-5.28893677558362
"C 40-9","C",0,2.8,15,"Z",NA,-5.28893677558362
"S5 20-5","S",5,3.74,0,"Z",NA,0.634766996648484
"S5 20-5","S",5,3.74,5,"Z",NA,0.634766996648484
"S5 20-5","S",5,3.74,10,"Z",NA,0.634766996648484
"S5 20-5","S",5,3.74,15,"D",NA,0.634766996648484
"S10 140-6","S",10,1.42,15,"A",56.21,2.04780033277511
"S10 140-6","S",10,1.42,0,"D",NA,2.04780033277511
"S10 140-6","S",10,1.42,5,"D",NA,2.04780033277511
"S10 140-6","S",10,1.42,5,"D",NA,2.04780033277511
"S10 140-6","S",10,1.42,5,"D",NA,2.04780033277511
"S10 140-6","S",10,1.42,15,"D",NA,2.04780033277511
"S10 50-7","S",10,2.82,10,"A",33.43,5.7498060467405
"S10 50-7","S",10,2.82,0,"D",NA,5.7498060467405
"S10 50-7","S",10,2.82,0,"D",NA,5.7498060467405
"S10 50-7","S",10,2.82,5,"D",NA,5.7498060467405
"S10 50-7","S",10,2.82,5,"D",NA,5.7498060467405
"S10 50-7","S",10,2.82,5,"D",NA,5.7498060467405
"S10 50-7","S",10,2.82,5,"D",NA,5.7498060467405
"S10 50-7","S",10,2.82,10,"D",NA,5.7498060467405
"S10 50-7","S",10,2.82,15,"Z",NA,5.7498060467405
"N5 20-9","N",5,3.93,10,"D",NA,-0.393591854566172
"N10 50-3","N",10,2.65,0,"A",26.1,3.65229579822367
"N10 50-3","N",10,2.65,0,"A",47.28,3.65229579822367
"N10 50-3","N",10,2.65,0,"A",43.03,3.65229579822367
"N10 50-3","N",10,2.65,0,"A",41.2,3.65229579822367
"N10 50-3","N",10,2.65,0,"A",52.35,3.65229579822367
"N10 50-3","N",10,2.65,0,"A",37.8,3.65229579822367
"N10 50-3","N",10,2.65,0,"A",45.75,3.65229579822367
"N10 50-3","N",10,2.65,5,"A",29.48,3.65229579822367
"N10 50-3","N",10,2.65,5,"A",29.35,3.65229579822367
"N10 50-3","N",10,2.65,5,"A",41.98,3.65229579822367
"N10 50-3","N",10,2.65,5,"A",30.82,3.65229579822367
"N10 50-3","N",10,2.65,5,"A",34.23,3.65229579822367
"N10 50-3","N",10,2.65,5,"A",42.61,3.65229579822367
"N10 50-3","N",10,2.65,5,"A",43.4,3.65229579822367
"N10 50-3","N",10,2.65,5,"A",38.49,3.65229579822367
"N10 50-3","N",10,2.65,5,"A",31.78,3.65229579822367
"N10 50-3","N",10,2.65,5,"A",27.12,3.65229579822367
"N10 50-3","N",10,2.65,5,"A",37.05,3.65229579822367
"N10 50-3","N",10,2.65,10,"A",50.06,3.65229579822367
"N10 50-3","N",10,2.65,10,"A",34.59,3.65229579822367
"N10 50-3","N",10,2.65,10,"A",26.25,3.65229579822367
"N10 50-3","N",10,2.65,15,"A",30.65,3.65229579822367
"N10 50-3","N",10,2.65,15,"A",25.93,3.65229579822367
"N10 50-3","N",10,2.65,15,"A",33.14,3.65229579822367
"N10 50-3","N",10,2.65,15,"A",33.56,3.65229579822367
"N10 50-3","N",10,2.65,15,"A",31.71,3.65229579822367
"N10 50-3","N",10,2.65,0,"D",NA,3.65229579822367
"N10 50-3","N",10,2.65,5,"D",NA,3.65229579822367
"N10 50-3","N",10,2.65,5,"D",NA,3.65229579822367
"N10 50-3","N",10,2.65,5,"D",NA,3.65229579822367
"N10 50-3","N",10,2.65,5,"D",NA,3.65229579822367
"N10 50-3","N",10,2.65,5,"D",NA,3.65229579822367
"N10 50-3","N",10,2.65,10,"D",NA,3.65229579822367
"N10 50-3","N",10,2.65,10,"D",NA,3.65229579822367
"N10 50-3","N",10,2.65,10,"D",NA,3.65229579822367
"N10 50-3","N",10,2.65,10,"D",NA,3.65229579822367
"N10 50-3","N",10,2.65,10,"D",NA,3.65229579822367
"N10 50-3","N",10,2.65,10,"D",NA,3.65229579822367
"N10 50-3","N",10,2.65,10,"D",NA,3.65229579822367
"N10 50-3","N",10,2.65,10,"D",NA,3.65229579822367
"N10 50-3","N",10,2.65,15,"D",NA,3.65229579822367
"N10 50-3","N",10,2.65,15,"D",NA,3.65229579822367
"N10 110-5","N",10,1.46,0,"D",NA,-1.9243912137086
"N10 110-5","N",10,1.46,5,"Z",NA,-1.9243912137086
"N10 110-5","N",10,1.46,10,"Z",NA,-1.9243912137086
"N10 110-5","N",10,1.46,15,"Z",NA,-1.9243912137086
"N10 110-5","N",10,1.46,0,"D",NA,-1.9243912137086
"N10 110-5","N",10,1.46,5,"Z",NA,-1.9243912137086
"N10 110-5","N",10,1.46,10,"Z",NA,-1.9243912137086
"N10 110-5","N",10,1.46,15,"Z",NA,-1.9243912137086
"N10 80-5","N",10,2.1,0,"D",NA,-0.155573608081787
"N10 80-5","N",10,2.1,5,"A",39.99,-0.155573608081787
"N10 80-5","N",10,2.1,5,"D",NA,-0.155573608081787
"N10 80-5","N",10,2.1,10,"D",NA,-0.155573608081787
"N10 80-5","N",10,2.1,15,"Z",NA,-0.155573608081787
"S2 0-5","S",2,4.14,0,"Z",NA,0.135023561388228
"S2 0-5","S",2,4.14,5,"Z",NA,0.135023561388228
"S2 0-5","S",2,4.14,10,"Z",NA,0.135023561388228
"S2 0-5","S",2,4.14,15,"Z",NA,0.135023561388228
"S10 40-4","S",10,3.22,0,"Z",NA,1.48994810255224
"S10 40-4","S",10,3.22,5,"Z",NA,1.48994810255224
"S10 40-4","S",10,3.22,10,"Z",NA,1.48994810255224
"S10 40-4","S",10,3.22,15,"Z",NA,1.48994810255224
"S2 30-7","S",2,3.24,0,"Z",NA,1.11781046225299
"S2 30-7","S",2,3.24,5,"Z",NA,1.11781046225299
"S2 30-7","S",2,3.24,10,"Z",NA,1.11781046225299
"S2 30-7","S",2,3.24,15,"Z",NA,1.11781046225299
"N2 50-0","N",2,2.77,0,"Z",NA,-1.16562252984988
"N2 50-0","N",2,2.77,5,"Z",NA,-1.16562252984988
"N2 50-0","N",2,2.77,10,"Z",NA,-1.16562252984988
"N2 50-0","N",2,2.77,15,"Z",NA,-1.16562252984988
"C 90-2","C",0,1.95,0,"D",NA,-1.30811497910788
"C 90-2","C",0,1.95,0,"D",NA,-1.30811497910788
"C 90-2","C",0,1.95,0,"D",NA,-1.30811497910788
"C 90-2","C",0,1.95,5,"Z",NA,-1.30811497910788
"C 90-2","C",0,1.95,10,"Z",NA,-1.30811497910788
"C 90-2","C",0,1.95,15,"Z",NA,-1.30811497910788
"N2 60-1","N",2,2.57,0,"D",NA,-0.672103963060548
"N2 60-1","N",2,2.57,5,"Z",NA,-0.672103963060548
"N2 60-1","N",2,2.57,10,"Z",NA,-0.672103963060548
"N2 60-1","N",2,2.57,15,"Z",NA,-0.672103963060548
"C 20-6","C",0,3.54,0,"Z",NA,NA
"C 20-6","C",0,3.54,5,"Z",NA,NA
"C 20-6","C",0,3.54,10,"Z",NA,NA
"C 20-6","C",0,3.54,15,"Z",NA,NA
"S5 140-3","S",5,1.25,0,"Z",NA,2.33826805589518
"S5 140-3","S",5,1.25,5,"Z",NA,2.33826805589518
"S5 140-3","S",5,1.25,10,"D",NA,2.33826805589518
"S5 140-3","S",5,1.25,10,"D",NA,2.33826805589518
"S5 140-3","S",5,1.25,10,"D",NA,2.33826805589518
"S5 140-3","S",5,1.25,10,"D",NA,2.33826805589518
"S5 140-3","S",5,1.25,15,"D",NA,2.33826805589518
"S5 140-3","S",5,1.25,15,"D",NA,2.33826805589518
"N5 50-4","N",5,2.77,0,"Z",NA,1.76842964400046
"N5 50-4","N",5,2.77,5,"A",38.12,1.76842964400046
"N5 50-4","N",5,2.77,5,"D",NA,1.76842964400046
"N5 50-4","N",5,2.77,5,"A",31.54,1.76842964400046
"N5 50-4","N",5,2.77,5,"A",32.16,1.76842964400046
"N5 50-4","N",5,2.77,5,"A",32,1.76842964400046
"N5 50-4","N",5,2.77,10,"A",34.42,1.76842964400046
"N5 50-4","N",5,2.77,10,"A",37.33,1.76842964400046
"N5 50-4","N",5,2.77,10,"A",33.25,1.76842964400046
"N5 50-4","N",5,2.77,15,"A",34.59,1.76842964400046
"N5 50-4","N",5,2.77,15,"A",34.09,1.76842964400046
"N5 50-4","N",5,2.77,15,"A",35.22,1.76842964400046
"N5 50-4","N",5,2.77,15,"A",27.44,1.76842964400046
"S2 80-7","S",2,2.13,0,"Z",NA,3.21079254261221
"S2 80-7","S",2,2.13,5,"A",43.17,3.21079254261221
"S2 80-7","S",2,2.13,10,"D",NA,3.21079254261221
"S2 80-7","S",2,2.13,10,"D",NA,3.21079254261221
"S2 80-7","S",2,2.13,15,"Z",NA,3.21079254261221
"N2 30-0","N",2,3.23,0,"Z",NA,-4.59158765104885
"N2 30-0","N",2,3.23,5,"Z",NA,-4.59158765104885
"N2 30-0","N",2,3.23,10,"Z",NA,-4.59158765104885
"N2 30-0","N",2,3.23,15,"D",NA,-4.59158765104885
"N2 30-0","N",2,3.23,15,"D",NA,-4.59158765104885
"C 60-3","C",0,2.45,0,"D",NA,-0.71355228572618
"C 60-3","C",0,2.45,0,"D",NA,-0.71355228572618
"C 60-3","C",0,2.45,0,"D",NA,-0.71355228572618
"C 60-3","C",0,2.45,0,"D",NA,-0.71355228572618
"C 60-3","C",0,2.45,5,"D",NA,-0.71355228572618
"C 60-3","C",0,2.45,5,"D",NA,-0.71355228572618
"C 60-3","C",0,2.45,5,"D",NA,-0.71355228572618
"C 60-3","C",0,2.45,10,"D",NA,-0.71355228572618
"C 60-3","C",0,2.45,15,"Z",NA,-0.71355228572618
"N5 80-1","N",5,2.33,0,"Z",NA,NA
"N5 80-1","N",5,2.33,5,"Z",NA,NA
"N5 80-1","N",5,2.33,15,"Z",NA,NA
"N5 80-1","N",5,2.33,10,"A",35.8,NA
"S10 130-9","S",10,1.86,0,"D",NA,2.03232416734516
"S10 130-9","S",10,1.86,0,"D",NA,2.03232416734516
"S10 130-9","S",10,1.86,5,"Z",NA,2.03232416734516
"S10 130-9","S",10,1.86,10,"Z",NA,2.03232416734516
"S10 130-9","S",10,1.86,15,"Z",NA,2.03232416734516
"S5 70-0","S",5,2.64,0,"Z",NA,-2.38372523272129
"S5 70-0","S",5,2.64,15,"Z",NA,-2.38372523272129
"S5 70-0","S",5,2.64,10,"A",27.5,-2.38372523272129
"S5 70-0","S",5,2.64,0,"Z",NA,-2.38372523272129
"S5 70-0","S",5,2.64,5,"D",NA,-2.38372523272129
"S5 70-0","S",5,2.64,10,"D",NA,-2.38372523272129
"S5 70-0","S",5,2.64,10,"D",NA,-2.38372523272129
"S5 70-0","S",5,2.64,10,"D",NA,-2.38372523272129
"S5 70-0","S",5,2.64,10,"D",NA,-2.38372523272129
"S5 70-0","S",5,2.64,15,"Z",NA,-2.38372523272129
"S2 60-9","S",2,2.59,15,"A",32.76,-0.415845315859431
"S2 60-9","S",2,2.59,0,"D",NA,-0.415845315859431
"S2 60-9","S",2,2.59,0,"D",NA,-0.415845315859431
"S2 60-9","S",2,2.59,5,"Z",NA,-0.415845315859431
"S2 60-9","S",2,2.59,10,"Z",NA,-0.415845315859431
"S5 30-5","S",5,3.37,0,"Z",NA,-0.121782489038967
"S5 30-5","S",5,3.37,5,"Z",NA,-0.121782489038967
"S5 30-5","S",5,3.37,10,"D",NA,-0.121782489038967
"S5 30-5","S",5,3.37,15,"Z",NA,-0.121782489038967
"S5 60-0","S",5,2.8,0,"D",NA,0.0964558308029755
"S5 60-0","S",5,2.8,0,"Z",NA,0.0964558308029755
"S5 60-0","S",5,2.8,5,"Z",NA,0.0964558308029755
"S5 60-0","S",5,2.8,10,"D",NA,0.0964558308029755
"S5 60-0","S",5,2.8,10,"D",NA,0.0964558308029755
"S5 60-0","S",5,2.8,15,"Z",NA,0.0964558308029755
"S2 90-9","S",2,2.01,0,"Z",NA,-1.32369065476558
"S2 90-9","S",2,2.01,5,"Z",NA,-1.32369065476558
"S2 90-9","S",2,2.01,15,"Z",NA,-1.32369065476558
"S2 90-9","S",2,2.01,10,"A",34.52,-1.32369065476558
"S2 90-9","S",2,2.01,10,"D",NA,-1.32369065476558
"S2 90-9","S",2,2.01,10,"D",NA,-1.32369065476558
"C 30-4","C",0,3.3,0,"D",NA,-2.99781439591645
"C 30-4","C",0,3.3,0,"D",NA,-2.99781439591645
"C 30-4","C",0,3.3,5,"Z",NA,-2.99781439591645
"C 30-4","C",0,3.3,10,"Z",NA,-2.99781439591645
"C 30-4","C",0,3.3,15,"D",NA,-2.99781439591645
"C 30-4","C",0,3.3,15,"D",NA,-2.99781439591645
"N2 80-6","N",2,2.17,0,"D",NA,1.03491744543117
"N2 80-6","N",2,2.17,0,"D",NA,1.03491744543117
"N2 80-6","N",2,2.17,0,"D",NA,1.03491744543117
"N2 80-6","N",2,2.17,0,"D",NA,1.03491744543117
"N2 80-6","N",2,2.17,0,"D",NA,1.03491744543117
"N2 80-6","N",2,2.17,0,"D",NA,1.03491744543117
"N2 80-6","N",2,2.17,5,"D",NA,1.03491744543117
"N2 80-6","N",2,2.17,10,"Z",NA,1.03491744543117
"N2 80-6","N",2,2.17,15,"Z",NA,1.03491744543117
"N2 40-0","N",2,3.09,0,"Z",NA,-0.472197548982814
"N2 40-0","N",2,3.09,5,"Z",NA,-0.472197548982814
"N2 40-0","N",2,3.09,10,"Z",NA,-0.472197548982814
"N2 40-0","N",2,3.09,15,"Z",NA,-0.472197548982814
"S2 110-2","S",2,1.76,0,"Z",NA,-0.41990308833564
"S2 110-2","S",2,1.76,5,"Z",NA,-0.41990308833564
"S2 110-2","S",2,1.76,10,"Z",NA,-0.41990308833564
"S2 110-2","S",2,1.76,15,"A",94.63,-0.41990308833564
"S2 110-2","S",2,1.76,15,"D",NA,-0.41990308833564
"S2 110-2","S",2,1.76,15,"D",NA,-0.41990308833564
"S2 110-2","S",2,1.76,15,"D",NA,-0.41990308833564
"S2 110-2","S",2,1.76,15,"D",NA,-0.41990308833564
"S2 110-2","S",2,1.76,15,"A",15.65,-0.41990308833564
"C 50-3","C",0,2.6,0,"Z",NA,-1.2876209862141
"C 50-3","C",0,2.6,5,"Z",NA,-1.2876209862141
"C 50-3","C",0,2.6,10,"Z",NA,-1.2876209862141
"C 50-3","C",0,2.6,15,"Z",NA,-1.2876209862141
"N10 20-0","N",10,4.17,0,"Z",NA,-0.814750027919444
"N10 20-0","N",10,4.17,5,"Z",NA,-0.814750027919444
"N10 20-0","N",10,4.17,15,"Z",NA,-0.814750027919444
"N10 20-0","N",10,4.17,10,"D",NA,-0.814750027919444
"S2 40-9","S",2,3,0,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,0,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,5,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,5,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,5,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,5,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,5,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,5,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,10,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,10,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,15,"Z",NA,-0.520581919929478
"N2 130-0","N",2,1.46,0,"Z",NA,-0.721595930349489
"N2 130-0","N",2,1.46,5,"Z",NA,-0.721595930349489
"N2 130-0","N",2,1.46,10,"Z",NA,-0.721595930349489
"N2 130-0","N",2,1.46,15,"Z",NA,-0.721595930349489
"S10 110-4","S",10,1.81,0,"Z",NA,1.19739323263789
"S10 110-4","S",10,1.81,5,"Z",NA,1.19739323263789
"S10 110-4","S",10,1.81,15,"A",41.86,1.19739323263789
"S10 110-4","S",10,1.81,10,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,10,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,10,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,10,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,10,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,10,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,10,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,10,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,10,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,15,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,15,"D",NA,1.19739323263789
"C 110-1","C",0,1.7,0,"Z",NA,2.17137903595873
"C 110-1","C",0,1.7,5,"Z",NA,2.17137903595873
"C 110-1","C",0,1.7,10,"Z",NA,2.17137903595873
"C 110-1","C",0,1.7,15,"Z",NA,2.17137903595873
"N5 60-5","N",5,2.46,0,"Z",NA,-1.42844225504939
"N5 60-5","N",5,2.46,5,"Z",NA,-1.42844225504939
"N5 60-5","N",5,2.46,10,"Z",NA,-1.42844225504939
"N5 60-5","N",5,2.46,15,"Z",NA,-1.42844225504939
"S2 70-5","S",2,2.49,0,"Z",NA,0.438740823655617
"S2 70-5","S",2,2.49,5,"A",40.18,0.438740823655617
"S2 70-5","S",2,2.49,5,"A",34.75,0.438740823655617
"S2 70-5","S",2,2.49,10,"A",51.59,0.438740823655617
"S2 70-5","S",2,2.49,15,"A",32.31,0.438740823655617
"C 100-0","C",0,1.89,0,"D",NA,-2.05552797292785
"C 100-0","C",0,1.89,0,"D",NA,-2.05552797292785
"C 100-0","C",0,1.89,0,"D",NA,-2.05552797292785
"C 100-0","C",0,1.89,0,"D",NA,-2.05552797292785
"C 100-0","C",0,1.89,0,"D",NA,-2.05552797292785
"C 100-0","C",0,1.89,0,"D",NA,-2.05552797292785
"C 100-0","C",0,1.89,5,"A",52.8,-2.05552797292785
"C 100-0","C",0,1.89,5,"D",NA,-2.05552797292785
"C 100-0","C",0,1.89,5,"D",NA,-2.05552797292785
"C 100-0","C",0,1.89,10,"D",NA,-2.05552797292785
"C 100-0","C",0,1.89,15,"Z",NA,-2.05552797292785
"S10 100-5","S",10,1.96,0,"Z",NA,-0.503019531818668
"S10 100-5","S",10,1.96,5,"Z",NA,-0.503019531818668
"S10 100-5","S",10,1.96,10,"A",42.78,-0.503019531818668
"S10 100-5","S",10,1.96,10,"D",NA,-0.503019531818668
"S10 100-5","S",10,1.96,10,"D",NA,-0.503019531818668
"S10 100-5","S",10,1.96,15,"D",NA,-0.503019531818668
"S10 100-5","S",10,1.96,15,"D",NA,-0.503019531818668
"S10 100-5","S",10,1.96,15,"D",NA,-0.503019531818668
