,UniqueID,StreamSide,StreamDistance,APresence,DPresence,Elevation,PC1,gravel,DownStreamTotal
1,C 100-0,C,0,1,9,1.89,-2.055527973,0.8316,100
2,C 110-1,C,0,0,0,1.7,2.171379036,0.6065,111
3,C 20-6,C,0,0,0,3.54,NA,NA,26
4,C 30-4,C,0,0,4,3.3,-2.997814396,0.8118,34
5,C 40-9,C,0,0,1,2.8,-5.288936776,0.9456,49
6,C 50-3,C,0,0,0,2.6,-1.287620986,0.763,53
7,C 60-3,C,0,0,8,2.45,-0.713552286,0.7633,63
8,C 70-7,C,0,0,6,2.16,-3.851176513,0.8792,77
9,C 80-6,C,0,0,9,2.04,-1.526895933,0.7334,86
10,C 90-2,C,0,0,3,1.95,-1.308114979,0.8108,92
11,N 2 140-7,N,2,0,0,1.48,NA,NA,147
12,N2 0-9,N,2,0,0,4.31,NA,NA,9
13,N2 10-4,N,2,0,0,4.19,NA,NA,14
14,N2 100-4,N,2,0,0,2.05,NA,NA,104
15,N2 110-9,N,2,0,0,1.62,-2.279175709,0.8012,119
16,N2 120-4,N,2,0,2,1.66,-3.411300323,0.8539,124
17,N2 130-0,N,2,0,0,1.46,-0.72159593,0.7903,130
18,N2 20-4,N,2,0,0,NA,NA,NA,24
19,N2 30-0,N,2,0,2,3.23,-4.591587651,0.9361,30
20,N2 40-0,N,2,0,0,3.09,-0.472197549,0.79,40
21,N2 50-0,N,2,0,0,2.77,-1.16562253,0.8184,50
22,N2 60-1,N,2,0,1,2.57,-0.672103963,0.7617,61
23,N2 70-0,N,2,0,0,2.62,NA,NA,70
24,N2 80-6,N,2,0,7,2.17,1.034917445,0.7289,86
25,N2 90-0,N,2,1,0,2.13,-2.047922508,0.8489,90
26,S 2 140-2,S,2,1,0,1.42,NA,NA,142
27,S2 0-5,S,2,0,0,4.14,0.135023561,0.7661,5
28,S2 10-2,S,2,0,5,3.94,-0.203205916,0.7539,12
29,S2 100-0,S,2,1,2,1.94,0.065716557,0.7593,100
30,S2 110-2,S,2,2,4,1.76,-0.419903088,0.7904,112
31,S2 120-4,S,2,2,4,1.57,NA,NA,124
32,S2 130-9,S,2,3,6,1.5,0.798312587,0.754,139
33,S2 20-7,S,2,0,0,3.5,-0.724185931,0.7525,27
34,S2 30-7,S,2,0,0,3.24,1.117810462,0.7175,37
35,S2 40-9,S,2,0,10,3,-0.52058192,0.77,49
36,S2 50-5,S,2,0,0,2.87,-1.662217092,0.8133,55
37,S2 60-9,S,2,1,2,2.59,-0.415845316,0.7188,69
38,S2 70-5,S,2,4,0,2.49,0.438740824,0.7542,75
39,S2 80-7,S,2,1,2,2.13,3.210792543,0.5986,87
40,S2 90-9,S,2,1,2,2.01,-1.323690655,0.8455,99
41,N5 0-3,N,5,0,0,4.32,-0.835392284,0.7627,3
42,N5 10-4,N,5,0,0,4.63,0.925630416,0.7025,14
43,N5 100-7,N,5,0,0,2.09,NA,NA,107
44,N5 110-3,N,5,0,0,1.74,-0.558790965,0.7689,113
45,N5 120-8,N,5,0,4,1.56,-1.901904453,0.838,128
46,N5 130-2,N,5,2,0,1.42,0.204432342,0.7071,132
47,N5 140-3,N,5,0,0,1.29,-0.428395598,0.8062,143
48,N5 20-9,N,5,0,1,3.93,-0.393591855,0.7242,29
49,N5 30-3,N,5,0,0,3.43,NA,NA,33
50,N5 40-2,N,5,1,2,3.18,-1.410065785,0.8778,42
51,N5 50-4,N,5,11,1,2.77,1.768429644,0.6542,54
52,N5 60-5,N,5,0,0,2.46,-1.428442255,0.7889,65
53,N5 70-5,N,5,0,6,2.4,-0.906511175,0.7541,75
54,N5 80-1,N,5,1,0,2.33,NA,NA,81
55,N5 90-3,N,5,2,3,2.14,-2.91947664,0.8614,93
56,S5 100-1,S,5,0,2,2.17,-0.86055514,0.7316,101
57,S5 110-0,S,5,2,0,1.98,3.57532408,0.6048,110
58,S5 120-6,S,5,1,0,1.53,0.577497508,0.7532,126
59,S5 130-0,S,5,2,0,1.63,1.967302087,0.6519,130
60,S5 140-3,S,5,0,6,1.25,2.338268056,0.7118,143
61,S5 20-5,S,5,0,1,3.74,0.634766997,0.7157,25
62,S5 30-5,S,5,0,1,3.37,-0.121782489,0.7605,35
63,S5 40-6,S,5,2,1,3.08,0.226742958,0.7431,46
64,S5 50-4,S,5,0,0,2.95,NA,NA,54
65,S5 60-0,S,5,0,3,2.8,0.096455831,0.759,60
66,S5 70-0,S,5,1,5,2.64,-2.383725233,0.821,70
67,S5 80-0,S,5,10,4,2.41,-0.705075298,0.7568,80
68,S5 90-0,S,5,7,8,2.26,-1.13801628,0.7574,90
69,N10 100-7,N,10,2,0,1.79,NA,NA,107
70,N10 110-5,N,10,0,2,1.46,-1.924391214,0.873,115
71,N10 120-0,N,10,2,3,1.57,1.062502445,0.7437,120
72,N10 130-4,N,10,0,0,1.64,-2.439809632,0.8329,134
73,N10 20-0,N,10,0,1,4.17,-0.814750028,0.8177,20
74,N10 30-1,N,10,0,0,3.54,-2.101438972,0.8036,31
75,N10 40-6,N,10,5,0,2.94,-1.472071152,0.8169,46
76,N10 50-3,N,10,26,16,2.65,3.652295798,0.5086,53
77,N10 60-4,N,10,0,0,2.39,NA,NA,64
78,N10 70-5,N,10,0,7,2.33,-0.37772444,0.7591,75
79,N10 80-5,N,10,1,3,2.1,-0.155573608,0.6494,85
80,N10 90-5,N,10,12,7,1.78,-0.159998854,0.7685,95
81,S10 100-5,S,10,4,6,1.96,-0.503019532,0.8127,105
82,S10 110-4,S,10,1,11,1.81,1.197393233,0.7199,114
83,S10 120-7,S,10,0,0,2.14,-1.339256774,0.8345,127
84,S10 130-9,S,10,0,2,1.86,2.032324167,0.6991,139
85,S10 140-6,S,10,1,5,1.42,2.047800333,0.6662,146
86,S10 30-0,S,10,0,0,3.81,NA,NA,30
87,S10 40-4,S,10,0,0,3.22,1.489948103,0.6869,44
88,S10 50-7,S,10,1,7,2.82,5.749806047,0.3361,57
89,S10 60-5,S,10,2,6,2.63,1.002286627,0.6918,65
90,S10 70-7,S,10,7,11,2.35,1.588003064,0.5658,77
91,S10 80-7,S,10,19,0,2.3,-0.935827001,0.7772,87
92,S10 90-7,S,10,0,1,2.18,-1.637534427,0.7644,97